trial_id,label,phase,elapsed_ms,temp_c,humidity_pct,pressure_hpa,gas_ohm
orange_007,orange_peel,baseline,369,24.573,45.423,1007.44,445798
orange_007,orange_peel,baseline,1738,24.318,45.024,1007.45,376470
orange_007,orange_peel,baseline,3107,24.058,44.8,1007.46,352860
orange_007,orange_peel,baseline,4476,23.845,44.713,1007.47,347472
orange_007,orange_peel,baseline,5845,23.679,44.65,1007.47,346766
orange_007,orange_peel,baseline,7214,23.55,44.598,1007.48,347118
orange_007,orange_peel,baseline,8583,23.447,44.561,1007.48,346766
orange_007,orange_peel,baseline,9952,23.369,44.533,1007.48,345362
orange_007,orange_peel,baseline,11321,23.311,44.545,1007.48,343970
orange_007,orange_peel,baseline,12690,23.264,44.527,1007.48,346062
orange_007,orange_peel,baseline,14059,23.229,44.505,1007.48,345013
orange_007,orange_peel,baseline,15428,23.204,44.527,1007.48,340199
orange_007,orange_peel,baseline,16797,23.183,44.574,1007.48,337842
orange_007,orange_peel,baseline,18166,23.165,44.572,1007.47,340878
orange_007,orange_peel,baseline,19535,23.151,44.527,1007.46,341561
orange_007,orange_peel,baseline,20904,23.14,44.488,1007.47,339860
orange_007,orange_peel,baseline,22273,23.131,44.444,1007.47,341903
orange_007,orange_peel,baseline,23642,23.123,44.418,1007.46,342933
orange_007,orange_peel,baseline,25011,23.117,44.374,1007.46,343624
orange_007,orange_peel,baseline,26380,23.112,44.361,1007.46,341903
orange_007,orange_peel,baseline,27749,23.108,44.348,1007.47,342933
orange_007,orange_peel,baseline,29118,23.104,44.335,1007.47,342589
orange_007,orange_peel,baseline,30487,23.101,44.353,1007.47,341561
orange_007,orange_peel,baseline,31856,23.097,44.347,1007.47,343970
orange_007,orange_peel,baseline,33225,23.093,44.327,1007.47,344665
orange_007,orange_peel,baseline,34594,23.09,44.321,1007.47,344317
orange_007,orange_peel,baseline,35963,23.088,44.321,1007.47,342933
orange_007,orange_peel,baseline,37332,23.085,44.333,1007.47,343278
orange_007,orange_peel,baseline,38701,23.081,44.326,1007.46,341219
orange_007,orange_peel,baseline,40070,23.079,44.332,1007.46,343624
orange_007,orange_peel,baseline,41439,23.078,44.326,1007.46,341219
orange_007,orange_peel,baseline,42808,23.077,44.35,1007.46,342589
orange_007,orange_peel,baseline,44177,23.076,44.344,1007.47,344317
orange_007,orange_peel,baseline,45546,23.073,44.319,1007.47,343624
orange_007,orange_peel,baseline,46915,23.071,44.275,1007.47,345013
orange_007,orange_peel,baseline,48284,23.071,44.269,1007.47,341561
orange_007,orange_peel,baseline,49653,23.072,44.269,1007.47,341219
orange_007,orange_peel,baseline,51022,23.072,44.275,1007.48,337508
orange_007,orange_peel,baseline,52391,23.071,44.281,1007.48,342589
orange_007,orange_peel,baseline,53760,23.072,44.288,1007.47,341903
orange_007,orange_peel,baseline,55129,23.072,44.331,1007.47,340538
orange_007,orange_peel,baseline,56498,23.072,44.362,1007.47,341219
orange_007,orange_peel,baseline,57867,23.07,44.381,1007.48,342933
orange_007,orange_peel,baseline,59236,23.067,44.38,1007.48,342246
orange_007,orange_peel,baseline,60605,23.065,44.355,1007.48,342589
orange_007,orange_peel,baseline,61974,23.063,44.33,1007.47,342933
orange_007,orange_peel,baseline,63343,23.061,44.305,1007.47,343970
orange_007,orange_peel,baseline,64712,23.061,44.28,1007.46,342246
orange_007,orange_peel,baseline,66081,23.059,44.28,1007.46,341903
orange_007,orange_peel,baseline,67450,23.057,44.261,1007.46,344665
orange_007,orange_peel,baseline,68819,23.055,44.261,1007.46,343278
orange_007,orange_peel,baseline,70188,23.054,44.255,1007.46,343970
orange_007,orange_peel,baseline,71557,23.052,44.267,1007.46,343278
orange_007,orange_peel,baseline,72926,23.051,44.254,1007.46,343970
orange_007,orange_peel,baseline,74295,23.049,44.217,1007.46,343970
orange_007,orange_peel,baseline,75664,23.048,44.198,1007.46,343970
orange_007,orange_peel,baseline,77033,23.044,44.173,1007.46,343970
orange_007,orange_peel,baseline,78402,23.041,44.135,1007.46,344665
orange_007,orange_peel,baseline,79771,23.038,44.085,1007.47,343970
orange_007,orange_peel,baseline,81140,23.037,44.042,1007.47,342589
orange_007,orange_peel,baseline,82509,23.038,44.005,1007.47,342933
orange_007,orange_peel,baseline,83878,23.037,44.005,1007.47,341561
orange_007,orange_peel,baseline,85247,23.035,44.017,1007.46,343278
orange_007,orange_peel,baseline,86616,23.036,44.054,1007.46,343278
orange_007,orange_peel,baseline,87985,23.037,44.091,1007.46,340878
orange_007,orange_peel,baseline,89354,23.034,44.141,1007.46,342933
orange_007,orange_peel,baseline,90723,23.034,44.153,1007.46,342933
orange_007,orange_peel,baseline,92092,23.032,44.153,1007.46,343970
orange_007,orange_peel,baseline,93461,23.03,44.146,1007.45,342933
orange_007,orange_peel,baseline,94830,23.03,44.134,1007.45,343970
orange_007,orange_peel,baseline,96199,23.029,44.153,1007.45,345013
orange_007,orange_peel,baseline,97568,23.027,44.177,1007.44,342246
orange_007,orange_peel,baseline,98937,23.025,44.183,1007.45,342933
orange_007,orange_peel,exposure,100306,23.023,44.17,1007.45,342589
orange_007,orange_peel,exposure,101675,23.023,44.17,1007.44,344665
orange_007,orange_peel,exposure,103044,23.023,44.195,1007.45,342933
orange_007,orange_peel,exposure,104413,23.025,44.233,1007.45,343970
orange_007,orange_peel,exposure,105782,23.025,44.245,1007.45,342246
orange_007,orange_peel,exposure,107151,23.025,44.226,1007.45,342589
orange_007,orange_peel,exposure,108520,23.024,44.226,1007.45,344665
orange_007,orange_peel,exposure,109889,23.021,44.226,1007.45,344317
orange_007,orange_peel,exposure,111258,23.022,44.164,1007.46,343278
orange_007,orange_peel,exposure,112627,23.021,44.102,1007.45,343624
orange_007,orange_peel,exposure,113996,23.017,44.12,1007.46,338848
orange_007,orange_peel,exposure,115365,23.014,44.275,1007.46,334203
orange_007,orange_peel,exposure,116734,23.011,44.399,1007.46,320400
orange_007,orange_peel,exposure,118103,23.006,44.448,1007.46,320701
orange_007,orange_peel,exposure,119472,23.001,44.472,1007.45,324358
orange_007,orange_peel,exposure,120841,22.997,44.472,1007.45,309927
orange_007,orange_peel,exposure,122210,22.993,44.521,1007.46,269331
orange_007,orange_peel,exposure,123579,22.989,44.601,1007.46,238305
orange_007,orange_peel,exposure,124948,22.984,44.731,1007.45,206451
orange_007,orange_peel,exposure,126317,22.981,44.93,1007.45,202531
orange_007,orange_peel,exposure,127686,22.973,45.06,1007.45,220880
orange_007,orange_peel,exposure,129055,22.968,45.147,1007.45,243925
orange_007,orange_peel,exposure,130424,22.962,45.252,1007.45,208341
orange_007,orange_peel,exposure,131793,22.955,45.576,1007.45,170099
orange_007,orange_peel,exposure,133162,22.947,46.026,1007.46,151793
orange_007,orange_peel,exposure,134531,22.94,46.634,1007.46,141828
orange_007,orange_peel,exposure,135900,22.934,47.314,1007.46,134878
orange_007,orange_peel,exposure,137269,22.929,47.927,1007.46,136170
orange_007,orange_peel,exposure,138638,22.922,48.364,1007.46,137265
orange_007,orange_peel,exposure,140007,22.914,48.661,1007.46,134136
orange_007,orange_peel,exposure,141376,22.907,48.788,1007.46,129456
orange_007,orange_peel,exposure,142745,22.901,48.832,1007.47,125829
orange_007,orange_peel,exposure,144114,22.893,48.894,1007.46,115915
orange_007,orange_peel,exposure,145483,22.885,49.027,1007.46,115056
orange_007,orange_peel,exposure,146852,22.877,49.237,1007.46,124634
orange_007,orange_peel,exposure,148221,22.869,49.491,1007.45,129850
orange_007,orange_peel,exposure,149590,22.861,49.689,1007.45,131856
orange_007,orange_peel,exposure,150959,22.852,49.771,1007.45,126015
orange_007,orange_peel,exposure,152328,22.844,49.827,1007.46,121875
orange_007,orange_peel,exposure,153697,22.835,49.903,1007.46,131856
orange_007,orange_peel,exposure,155066,22.826,49.96,1007.47,131046
orange_007,orange_peel,exposure,156435,22.817,50.093,1007.47,123731
orange_007,orange_peel,exposure,157804,22.806,50.348,1007.47,117918
orange_007,orange_peel,exposure,159173,22.797,50.598,1007.47,124817
orange_007,orange_peel,exposure,160542,22.788,50.764,1007.47,137265
